timestamp,bible_or_anime,quote,quote_source,image_prompt,image_file,image_file_motivational,tweet_link,tweet_id
,anime,I hate perfection. To be perfect is to be unable to improve any further.,Kurotsuchi Mayuri,,,,,
,anime,"Power comes in response to a need, not a desire. You have to create that need.",Goku (Dragon Ball Z),,,,,
,anime,I’ll leave tomorrow’s problems to tomorrow’s me.,Saitama (One-Punch Man),,,,,
,bible,"Notwithstanding, that I be not further tedious unto thee, I pray thee that thou wouldest hear us of thy clemency a few words.",Acts 24:4,,,,,
,anime,"When you give up, that’s when the game ends.",Mitsuyoshi Anzai (Slam Dunk),,,,,
,bible,"And they departed from the presence of the council, rejoicing that they were counted worthy to suffer shame for his name.",Acts 5:41,,,,,
,anime,To know sorrow is not terrifying. What is terrifying is to know you can’t go back to happiness you could have.,Matsumoto Rangiku (Bleach),,,,,
,anime,"Whether you win or lose, looking back and learning from your experiences is a part of life.",All Might,,,,,
,anime,"Was I able to live inside someone’s heart? Was I able to live inside your heart? Do you think you’ll remember me at least a little? You’d better not hit ‘reset!’ Don’t forget me, OK? That’s a promise, OK? I’m glad it’s you, after all. Will I reach you? I hope I can reach you.",Kaori,,,,,
,anime,You’ve got two legs and a heartbeat. What’s stopping you?,Inuyasha,,,,,
,bible,"Then many of the Jews which came to Mary, and had seen the things which Jesus did, believed on him.",John 11:45,,,,,
,bible,The LORD is the portion of mine inheritance and of my cup: thou maintainest my lot.,Psalms 16:5,,,,,
,anime,Every journey begins with a single step. We just have to have patience.,Milly Thompson,,,,,
,anime,The ticket to the future is always open.,Vash the Stampede,,,,,
,anime,Reject common sense to make the impossible possible.,Simon (Tengen Toppa Gurren Lagann),,,,,
,bible,"But straightway Jesus spake unto them, saying, Be of good cheer; it is I; be not afraid.",Matthew 14:27,,,,,
,bible,"Now if Christ be preached that he rose from the dead, how say some among you that there is no resurrection of the dead?",1 Corinthians 15:12,,,,,
,anime,"You should never give up on life, no matter how you feel. No matter how badly you want to give up.",Canaan,,,,,
,bible,"Why art thou cast down, O my soul? and why art thou disquieted in me?  hope thou in God: for I shall yet praise him for the help of his countenance.",Psalms 42:5,,,,,
,bible,"Call now, if there be any that will answer thee; and to which of the saints wilt thou turn?",Job 5:1,,,,,
,bible,"Then all those virgins arose, and trimmed their lamps.",Matthew 25:7,,,,,
,bible,"Lay thine hand upon him, remember the battle, do no more.",Job 41:8,,,,,
,bible,"Likewise reckon ye also yourselves to be dead indeed unto sin, but alive unto God through Jesus Christ our Lord.",Romans 6:11,,,,,
,anime,"Who decides limits? And based on what? You said you worked hard? Well, maybe you need to work a little harder. Is that really the limit of your strength? Could you of tomorrow beat you today? Instead of giving in, move forward.",Saitama,,,,,
,anime,Why should I apologize for being a monster? Has anyone ever apologized for turning me into one?,Juuzou Suzuya,,,,,
,anime,Being weak is nothing to be ashamed of… Staying weak is !!,Fuegoleon Vermillion (Black Clover),,,,,
,bible,"It shall be health to thy navel, and marrow to thy bones.",Proverbs 3:8,,,,,
,anime,People become stronger because they have memories they can’t forget.,Tsunade,,,,,
,bible,And every creeping thing that creepeth upon the earth shall be an abomination; it shall not be eaten.,Leviticus 11:41,,,,,
,bible,"They are all adulterers, as an oven heated by the baker, who ceaseth from raising after he hath kneaded the dough, until it be leavened.",Hosea 7:4,,,,,
,bible,"And thou shalt lay them up in the tabernacle of the congregation before the testimony, where I will meet with you.",Numbers 17:4,,,,,
